puisto,park
loppua,to end
kello,o'clock
muu,other
opiskelija,student
mennä,to go
koti,home
mutta,but
kioska,kiosk
ostaa,to buy
jäätelö,ice cream
maksaa,to pay
euro,euro,currency
säästää,to save
raha,money
sitten,then
istua,to sit
puhua,to speak
nauraa,to laugh
minklmaalainen,from which country
brasilialainen,Brazilian,person
venäläinen,Russian,person
entä,what
mistä,from where
kotoisin,from
Etelä+Afrikka,South Africa
ai jaa,
kieli,language
minun,my
äidinkieli,mothertongue
englanti,English,language
myös,also
vähän,a little
espanja,Spanish,language
-ko/-kö,do you/does he
sinun,your
portugali,Portuguese
ai niin,oh yeah
tietysti,of course
ajaa,to drive
auto,car
bussipysäkki,bus stop
missä,where,question
asua,to live
numero,number
vaan,but
nyt,no
